selected_arm,trip_overhead,total_complaints
1,2.441066584029926,0
2,2.629470259735454,0
2,2.8356343321745405,0
1,2.9709797444744277,0
0,3.168798120635891,0
2,3.1662888123918305,0
1,3.2127241025202946,0
0,3.310647010396423,0
2,3.289749247620155,0
1,3.320952143043117,0
0,3.353642351854507,0
2,3.353833636690488,0
1,3.3925423757172886,0
0,3.4366662017113088,0
2,3.396697768397106,0
1,3.421668399830387,0
0,3.4471189792591734,0
2,3.429713561377589,0
1,3.438795419577032,0
0,3.4613703307939345,0
1,3.446963119261403,0
2,3.4490426226481077,0
